,coconut_id,unique_smiles
205383,CNP0207782,O=C(C=1C(OC2OC(CO)C(O)C(O)C2O)=CC=C(O)C1CCC3=CC=C(OC)C(OC)=C3)C
205385,CNP0326651,O=C1OC2OC(=O)C3CCC4C(C)(C)CC(C)(C1)C234
205389,CNP0221494,BrCC12CCC3(C)C(Br)CCC(O)(C)C3C2C(O)C=CC1C(C)C
205390,CNP0247555,O=C(O)C12C(=CCC3C4(C)CCC(O)C(C)(C)C4CCC31C)C5CC(C)(C)CCC5(C(=O)O)CC2
205394,CNP0349495,O=C1OC2CC(C)C3(OC3CC2C1=C)C=CC(=O)C
205397,CNP0209270,OC1C(=C)CCC2C3(C)CC=C4C(CCC4(C)C3CC(O)C2(C)C1O)C(C)C
205402,CNP0431880,O=CC(NC(=O)C(NC(=O)C(NC(=O)C(O)CC1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2)CC(C)C)CCCNC(=N)N
205407,CNP0170208,OC=1C=C2C(=CC1OC)CN3CCC4=CC=C(OC)C(O)=C4C3C2
205410,CNP0403185,O=C(NC(C)C)NS(=O)(=O)C=1C=NC=CC1NC2=CC=CC(=C2)C
205416,CNP0077003,O=C(OC1C=C(CO)C2C(O)OC=C(C(=O)OC)C12)C=CC3=CC=C(O)C=C3
205417,CNP0074250,O=C1OC(=CC(O)=C1C(=N)C)C
205422,CNP0264081,O=C1NC(=O)C(C2=CNC=3C=C(OS(=O)(=O)O)C=CC32)=C1C4=CNC=5C=CC=CC54
205423,CNP0368751,O=C(O)C1(C)CCCC2(C3=CC=C(C=C3CCC12)C(=C)C)C
205428,CNP0293527,O=C(OC1C(OC(=O)C)C2(O)C(C=CC(=O)C2(C)C3CC=4OC=CC4C(=C)C13)(C)C)C
205437,CNP0161163,O=C(C=CC=1C=CC=CC1)NCCCCNC(=O)C(C)CC
205440,CNP0189562,O=C1OC(=C(C=2C1=C(O)C=C(O)C2C)CO)CO
205443,CNP0074501,O=C(NC1C(OC(CO)C(O)C1O)NC(=O)CC2NC(=O)C(NC(=O)C3NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CC(=O)NC3)CC4=CNC=5C=CC=CC54)CC=6C=CC=CC6)CC(C)C)C
205448,CNP0285102,C=C(C)C(C)CCC(=C)C1CCC2(C)C1CCC3C4(C)CCCC(C)(C)C4CCC32C
205450,CNP0245948,C(=CCCCCC)CCCC
205458,CNP0425331,O=C1C=C(C)C2C3C1C2(C)CCC3C(OC4OC(CO)C(O)C(O)C4O)(C)C
205459,CNP0218359,O=CCC1CC(C)C(OC2OC(C)C(N(C)C)CC2)C=CC=CCC(OC(=O)CC(OC(=O)CC)C(OC)C1OC3OC(C)C(OC4OC(C)C(OC(=O)CC)C(O)(C)C4)C(N(C)C)C3O)C
205462,CNP0114878,O=C(O)CCC(NC(=O)CCCCCCCCCCCCCCC)C(=O)NC(C(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)OC3=CC=C(C=C3)C1)C(C)CC)CC4=CC=C(O)C=C4)CCC(=O)N)C(C)C)CCC(=O)O)C(O)C)CCCN
205463,CNP0109470,O=C1C=CCC2(Cl)C(O)CC3C(CCC4(C)C(O)(CCC34O)C(C)C5OC(O)C6(OC6(C)C5)C)C12C
205465,CNP0111016,OC(C)CCCCCCC
205469,CNP0141875,O=CC1=CCCC(=CC2OC(=O)C(=C)C2C(O)C1)COC3OC(COC(=O)CC4=CC=C(O)C=C4)C(O)C(O)C3O
205479,CNP0357540,O=C(OC1C=COC=C2CC3(SC)C(=O)N4C5C(=CC=CC5OC(=O)CC(O)CCCCC)CC4(SC)C(=O)N3C21)CC(O)CCCCC
205480,CNP0425332,OC1C2=CC(OC3OCC(O)C(O)C3OC)CCC2(C)C4CCC5(C)C(C(O)C(O)C5C4(O)C1)C(C)CCC(C(=C)C)CCOC6OCC(O)C(O)C6O
205482,CNP0360348,O=CC1=CN2CCC34C5=CC=C6OCOC6=C5N(C(=O)OC)C(O)(C(=O)OC)C4CCC(C(=O)OC)(C1O)C23
205483,CNP0357355,OC1OCC2(C3=C1C(C)CC(O)C3C(C)(C)C2O)C
205486,CNP0155157,O=C(OC1CC2=CC=C3C(CCC4(C)C3CCC4C(C=CC(C)C(C)C)C)C2(C)CC1)C
205488,CNP0267024,O=C(O)C(O)C(C)C
205490,CNP0168676,O=C1C=C(C=2C(N)=CC=CC2N1)CF
205496,CNP0288796,O=C(OCC1OC(OCCC2=CC=C(O)C(O)=C2)C(OC3OCC(O)C(O)C3O)C(OC4OC(CO)C(O)C(O)C4O)C1O)C=CC5=CC=C(O)C(O)=C5
205499,CNP0248672,OC1CCC2(C)C(CCC3(C)C2CCC4C5C(C(=CCC5(C)CCC43C)C)C)C1(C)C
205500,CNP0332250,O=C(OC1C(=O)C2C3OCC4=C3C(C)(CCC4O)CCC2(C)C1C(C)C)C
205504,CNP0336210,OCC=1C=CC=CC1OC2OC(CO)C(O)C(O)C2O
205511,CNP0405723,OC1C(=C)C2(O)C(C1)CC3(C)CCC(C)(C)C23
205512,CNP0083596,O=P(O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
205514,CNP0219908,O=C(NC1C(=O)NC(C(=O)N2C(C(=O)N(C)CC(=O)N(C)C(C(=O)OC1C)C(C)C)C(O)CC2C)C(C)C)C3=CC=C(C=4OC=5C(=NC43)C(C(=O)NC6C(=O)NC(C(=O)N7C(C(=O)CC7C(=O)N(C)CC(=O)N(C)C(C(=O)OC6C)C)C)C(C)C)=C(N)C(=O)C5C)C
205521,CNP0339995,O=C1C=C(OC2=C1C(O)=CC(O)=C2C=3C(O)=CC(O)=C4C(=O)CC(OC43)C5=CC=C(O)C=C5)C=6C=CC(O)=CC6
