,coconut_id,unique_smiles
329544,CNP0235995,O=C1NC(C(=O)N2NCCCC2C(=O)N3N=CC(OC)CC3C(=O)N(C)C(C(=O)N4NCCCC4C(=O)N5C1CC6(O)C7=CC=C(Cl)C=C7NC56)C)C(C)C
329547,CNP0119668,O=C1OC2C=CCCSSCC(NC(=O)C(NC(=O)C2)CCSC)C(=O)NC(C(O)C1)C(C)CC
329549,CNP0154275,O=C1OC(=CC(OC)=C1)CCCCC=CC=CCCC=CC=CCCC
329551,CNP0299907,OC=1C(O)=C(C2=C(C1O)C(OC2)C3OC(O)C=4C(=C(O)C(O)=C(O)C43)C)C
329555,CNP0284220,O=C1OC2C(C1=C)C(O)C(OC(=O)C(=CC)COC(=O)C)C(=C)C3CC=C(C)C23
329558,CNP0175504,O=C1OC2C(O)C(O)(C3=CCC(O)(C)C3CC2C1=C)C
329569,CNP0286404,O=C1OC(C)(CCC=C1CCC=C(C)COC(=O)C)C(O)CCC(=CCO)C
329574,CNP0273336,O=C(NCC(C)C)C1C=CC2CC3C(CC4=CC=C5OCOC5=C4)C6C=CC1C2C63
329590,CNP0248883,O=C(OC1CC2CC(C)CC34N(CCCC13)CC(O)CC24)C
329593,CNP0258841,O=C1OC(C(=O)N2CCCC2C(=O)N(C)C(C(=O)OC(CCCCC)C(C(=O)NC(C(=O)N(C)C1C(C)C)C(C)C)C)C(C)C)C(C)C
329601,CNP0239320,O=C(C=1C(O)=CC(OC)=CC1O)C2CC=C(CCC=C(C)C)CC2C=3C=CC=CC3
329604,CNP0346467,O=C(O)CCCCCCCCC(O)CCCCCCO
329606,CNP0276940,O=C(OC1C(O)C(OC(=O)C2=CC=C(O)C=C2)C(OC=3C(=O)C=4C(O)=CC(O)=CC4OC3C=5C=CC(O)=C(O)C5)OC1C)C=CC6=CC=C(O)C=C6
329613,CNP0313060,O=C(OC)C(=O)C1C2(C)C(OC(=O)C)CC(OC(=O)C)C3(C)COC(C(O)C1(C)C45OC5(C)C6CC4OC7OC=CC76O)C32
329614,CNP0334384,O=C1C=2C=CC=CC2C(=O)C=3C(O)=C4C(=C(O)C13)CC(N)(C(=O)C)CC4OC5OCC(O)C(O)C5
329617,CNP0123525,O=C1CCC2(C)C3C(=CCC2C1(C)C)C4(C)CCC(C(C)C(O)C(O)C(O)C(O)(C)C)C4(C)CC3
329624,CNP0268296,O=C1OC2CC(OC3(OC(C(C)C)C(C)CC3)C2)CC=C(C)CC(C=CC=C(CO)C4(O)CC(OC)C(=CC14)C)C
329627,CNP0290722,O=C1OC(O)(C(=C1C)C)CCCCC
329630,CNP0213011,O=C1C2=C(O)C=C(O)C(=C2OC(C=3C=CC(O)=CC3O)=C1CC=C(C)C)CC(O)C(=C)C
329635,CNP0159669,OC1C(=C)C=CC(C1)C(C)C
329643,CNP0402253,OC1CC2C3(C)CCC(O)C(C)(C)C3CCC2(C)C4(C)CCC(C14)C(O)(C)CCCC(OC)(C)C
329644,CNP0369407,O=C1C=C(OC(=C1C)CC=C(C)CC=CC(=CC(C)C(O)C(=CC)C)C)OC
329645,CNP0131547,OC=1C=C2C(=CC1OC)CN(C)CC2
329657,CNP0421473,O=C1C2=CC=3C(O)=CC=C(OS(=O)(=O)O)C3C=C2C4(C)CCC(=O)C5C(O)N(C(=O)C154)CCS(=O)(=O)O
329658,CNP0082448,O=C(OCC(OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC)CO)CCCCCCCCCCCCCCCCC
329662,CNP0148784,O=CC12CC3OC4(O)C(OC(CO)CC4O)OC3CC2CCC5C1CCC6(C)C(C7=CC(=O)OC7)C(OC(=O)C)CC56O
329665,CNP0333650,O=C1CCC2C3CC(O)C4CCC(O)CC4(C)C3CCC12C
329670,CNP0293582,OC=1C=CC(=CC1O)C2=CC(O)=C(C(O)=C2OC)C3=CC=C(O)C(O)=C3
329675,CNP0231802,O=CC(=C)C12OC(=O)CC2(C)C(OC(=O)C)CC3(C(=C1)C(=O)CC3C(C)C)C
329682,CNP0370275,O=C1OC(C2=C(O)C(O)=C3OC(C)(C)CCC3=C2C1OC)C
329684,CNP0233742,O=C(OC)C1=CC2OC(=O)C(C)C2(O)C(OC(=O)C)C3C(C)C(O)CC(OC(=O)C)C3(C)C(OC(=O)C)CC1
329685,CNP0471001,O=C(O)CC=1C=C(C(O)=C(C1)[NH+]([O-])O)[NH+]([O-])O
329687,CNP0241042,BrC(C#C)C1OC(C(Br)C2OC(CC)C(Br)CC2Br)C(O)C1
329688,CNP0291373,O=C(OC1C(O)C2=C(C)C(O)CC(O)(C(OC(=O)C)C3C(=C)C(O)CCC13C)C2(C)C)C
329698,CNP0318123,O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CO)CC=2C=CC=CC2)CCC(=O)N)CCC(=O)N)(C)C)(C)C)C(C)C)(C)C)CC(C)C)(C)C)CC(C)C)(C)C)CCC(=O)N)C)(C)C)C)(C)C)C)(C)C)C
329704,CNP0347948,O=C(OC1C2OC(=O)C(OC(=O)C)C3C(C)C(O)C4(O)OCC23C4C5(C)C(O)C(=O)C=C(C)C15)C(=CC)C
329709,CNP0364677,O=C(C)CCCCCCC
329715,CNP0140958,O=C1C(OC)=C(OC=2C(O)=C(O)C=C(O)C12)C=3C=CC(OC)=CC3
329718,CNP0426272,O=C1NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)N3CCCC3C(=O)NC1CC=4C=CC=CC4)C(C)C)C(C)CC)C(C)CC)C(C)CC)C(C)CC)CC=5C=CC=CC5
329721,CNP0320930,O=CC12CCC(C(=C)C)C2C3CCC4C5(C)CCC(OC(=O)C=CC6=CC=C(O)C=C6)C(C)(C)C5CCC4(C)C3(C)CC1
329722,CNP0404615,O=C1C2=C(C(=C(C=C2C(O)C1C)C)CCOC3OC(CO)C(O)C(O)C3O)C
329723,CNP0311839,O=C1OC(C)CC=CC(O)CCC1
329731,CNP0110615,O=C1N2C(C(=O)N3C1CC4(C=5C=CC=CC5NC34)C(C=C)(C)C)CC6(C=7C=CC=CC7NC26)C(C=C)(C)C
329734,CNP0072405,O=C(OC)CCC(=CC1CC2C(OCC(CCC=3OC=CC3)C2C=CC(C)C)CC1O)C
329740,CNP0286832,O=C(O)C=CC(=CC(C(=O)C1=CC=C(C=C1)N(C)C)C)C
329753,CNP0205649,O=C1C2=CC=3C=4C=CC=CC4NC3C(OC)=C2C(O)C1
329762,CNP0356296,O=C1OC(CCCCCCCCC)CC(O)C(O)C=CC(O)C1
329763,CNP0327260,O=C1OC=2C=C3OC(C4=CC=C(O)C(O)=C4)C5C(C=C(C)CC5C6=CC=C(O)C=C6OC)C3=CC2C=C1
329771,CNP0394755,N=1C(=CC2=CC3=C(N2)CCCCCCC3CCCC)C(OC)=CC1C4=CC=CN4
329778,CNP0271947,OCC12C(=CCC3C4(C)CCC(O)C(C)(C)C4CCC31C)C5CC(C)(C)CCC5(C)CC2
329779,CNP0197143,O=C(O)C(NC(=O)C)C(O)C(O)C(O)C=CCCCCCCC(O)CCCCCC
329787,CNP0336397,O=C(N)NCC(=O)N(C)C1C(O)C(OC2OC(CCC2N)C(N)C)C(N)C(O)C1OC
329789,CNP0117999,O=C1NC(C(=O)N2C3NC=4C=CC=CC4C3(CC12)C56C=7C=CC=CC7NC6N8C(=O)C(NC(=O)C8C5)C(C)C)C(C)C
329798,CNP0405935,OC1CCC2(C)C(CCC3(C)C2C(OC)C=C4C5CC(C)(C)CCC5(C)CCC43C)C1(C)C
329803,CNP0237201,O=C(OC=CC1C(C(=O)C2(O)COC(C)(C)C3CCC1(C)CC32)CC(=O)C)C=C(C)C
329805,CNP0348476,O=C1C=C2C(=C3C(C4=CC=C(C=C4)N(C)C)CC5(C)C(CCC5(O)C#CC)C3CC2)CC1
329809,CNP0179137,O=C(OC1C(OC(=O)C)C(=C)C(OC(=O)C)C2C(OC(=O)C)C(C)CC2(OC(=O)C)C3(O)OC(C(=O)C3C)C(C)(C)C1OC(=O)C)C=4C=CC=CC4
329821,CNP0294604,O=C(O)CCC1C(C(=O)C=C2CC(O)CCC21)C
329829,CNP0150428,O=C1OC(C=C1CCCCCCCC(O)CCCCCCC(O)C2OC(CC2)C(O)CCCCCCCCCCCC)C
329831,CNP0110502,O=C(OCC1OC(OC2C(C(=O)C(O)(C(=O)C2(C)C)CC(C)C)(C)C)C(O)C(O)C1O)C3=CC(O)=C(O)C(O)=C3
329834,CNP0378698,O=C1ON2C=3C1=CC=CC3C=4C=5OC6(C(=O)OC)C(C(=O)CCC6O)=C(O)C5C(O)=CC4C2
329835,CNP0235375,O=C(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C34CCC(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(CO)C(O)C(O)C8OC9OC(CO)C(O)C(O)C9O)C(C)(CO)C7CCC6(C)C5(C)CC3
329837,CNP0163283,O=C1OC2C(=C1COC(=O)C)C(OC(=O)C)CC(C)C(OC(=O)C)CCC3(OC23)C
329838,CNP0073009,O=C1C=CC(N1C(=O)C=C(OC)CCNC(=O)CCCCC(C)(C)C)CC(C)C
329843,CNP0266742,O=C1OC2C(C1=C)CC=C(C)C3CC(=O)C(C)C23
329848,CNP0115288,O=CC1=CCC=C(C)CCC(C1COC(=O)C)C(C)CCC=C(C)C
329849,CNP0134654,O=C(C)CCCCCCCCCCCCCCC=CC1=CC=C2OCOC2=C1
329850,CNP0072238,O=C(N(C)C(CO)COC)CCC=CCCCCC(Cl)CCCCCCCC(Cl)Cl
329854,CNP0426273,O=C(OC1CC2C(O)(CC=C3CC(O)CCC32C)C4(O)CCC(O)(C(=O)C)C14C)C(=CC)C
329857,CNP0414242,O=C1C=C(OC2=CC(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)=CC=C12)C=5C=CC(O)=CC5
329858,CNP0271321,O=C1C=C(C)C2(O)C(O)C13C(C)CCC3C2(C)C
329859,CNP0071349,O=C1N=C(C=CN1C2OC(C)C(O)CC2)NC(=O)CC=C(C)C
329863,CNP0381955,O=C(NCCC1=CC=C(OC)C=C1)C=2N=C(C(=O)C)C=3NC=4C=CC=CC4C3C2
329864,CNP0233525,OCC1OC(OCC2(C)CCCC3(C)C2CCC45CC(CCC43)C(O)(CO)C5)C(O)C(O)C1OC
329865,CNP0352774,N=1C=CN=C(C1OC)C
329869,CNP0204797,O=CC1C=2C=COC2CC3C1C(OC(=O)C)C(OC(=O)C)C4C(C)(C)CCCC34C
