,coconut_id,unique_smiles
246447,CNP0391551,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC(OC=4C=C(C=CC4OC)C=5OC=6C=C(O)C=C(O)C6C(=O)C5)=CC3
246448,CNP0425647,O=C(OC1C(=O)C=2C(O)=CC(O)=CC2OC1C=3C=CC=CC3)C=4C=CC=CC4
246450,CNP0425648,O=C1C(OC)=C(OC2=C(OC)C(OC)=C(OC)C(O)=C12)C=3C=CC(OC)=CC3OC
246460,CNP0277169,O=C1OCC=C1CCC=C(C)CCC=C(C)CCC2=C(C(=O)CCC2(C)C)C
246463,CNP0080325,O=C(O)CCCCCCCCCC(OC1OC(C)C(O)C(O)C1OC2CC(CO)C(C)C(O)C2OC3OC(C)C(OC4OC(C)C(O)C(O)C4O)C(O)C3O)CCCCC
246468,CNP0273260,O=C1C(OC)=C(OC2=C(OC)C(OC)=CC(O)=C12)C=3C=CC=C(Br)C3O
246481,CNP0253166,O=C(OC1C2C3(OC(=O)C)COC3CC(OC4OCC(O)C(O)C4O)C2(C(=O)C(OC(=O)C)C5=C(C)C(OC(=O)C(O)C(N=C(O)CCCCC)C=6C=CC=CC6)CC1(O)C5(C)C)C)C=7C=CC=CC7
246489,CNP0272200,O=C(OCC1(O)COC(OC2C(O)C(O)C(OC2OC3=CC=C(O)C(OC)=C3)CO)C1O)C4=CC(OC)=C(O)C(OC)=C4
246490,CNP0352506,O=C(O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)CCC6(CO)C(O)C(O)C54C)C2(C)C)C(OC7OC(CO)C(O)C(O)C7O)C(OC8OC(CO)C(O)C(O)C8OC9OC(C)C(O)C(O)C9O)C1O
246496,CNP0290985,O=C1C(OC)=C(OC2=C(OC)C(OC)=C(OC)C(O)=C12)C=3C=CC=4OCOC4C3
246498,CNP0353580,O=C1C(O)=C(C)C2C1CC(=O)C34C(=O)NC(CC5=CNC=6C=CC=CC65)C4C(=C(C)C(O)C3C=CCC2C)C
246499,CNP0318303,C(C=C(C)C)=CC
246503,CNP0180734,O=C(OC1C(OC(OCCC2=CC=C(O)C=C2)C(O)C1OC3OC(C)C(O)C(O)C3O)CO)C=CC4=CC=C(O)C=C4
246504,CNP0215758,O=CC=C(C)CC(C)CC(C)C1OC(=O)C=CC1OC(=O)C=CC(=CC(CO)CCO)C
246510,CNP0250419,O=C1OC2CC(=CCCC(=CCCC3(OC3CC2C1=C)CO)C)C
246516,CNP0389199,O=C1C(=O)C(=C(O)C(N)=C1C=CC=2C=CC=CC2)C(C)C
246521,CNP0240894,O=C(OC1C2C(OC(=O)C2CC(O)C)CC(C)C3C=CC(=O)C13C)C
246522,CNP0213143,O=P(O)(O)OP(=O)(O)OCC(=C(C)CCC=C(C)C)C
246528,CNP0351901,O=C1C=CC(N1C(=O)C=C(OC)CCNC(=O)CCC=CC(C)CCC(=CCl)CCCC=C)C
246535,CNP0086469,O=C(C=1C(=O)C(C(O)=C(C1O)CC=2C(O)=C(C(=O)CCC)C(O)=C(C2O)CC3=C(O)C(C(=O)CCC)=C(O)C(=C3O)CC=4C(O)=C(C(=O)C)C(=O)C(C4O)(C)C)(C)C)C
246536,CNP0359413,O=C1C2=C(O)C=C(OC)C(OC)=C2OC(C3=CC=C(OC)C=C3)C1
246540,CNP0432864,OC(C)(C)C1CCC2(C)CC=C(C)CCC12
246545,CNP0216221,O=C1OC(C=C1CCCCCCCCCC(O)CCC(O)C2OC(CC2)C3OC(CC3)C(O)CCCC(O)CCCCCC)C
246547,CNP0138275,O1C=2C=C3OC(C)(CC3=CC2C4OC=5C=CC=CC5C4C1)CCCCCCCCCCCC
246553,CNP0124053,OC1=CC=C(C=C1OC)C(O)C(OC2=CC=C(C=C2OC)CC(O)CO)CO
246561,CNP0273312,OCC(O)C1(C)CC2=CCC3C(C)(C)CCCC3(C)C2CC1
246565,CNP0297407,C(#CCCCCCCCCCN(C)CCNC)C=CCCC=C
246569,CNP0201292,O=C(OC1C2OC2(C)C3C(OC=CC13O)OC4OC(CO)C(O)C(O)C4O)C(=CCCC(O)(C=C)C)C
246573,CNP0409211,O=C(OC1C(O)C2=CC(=CC(O)=C2C3(C(=O)CCC(C(=O)OC)(C)C13)C)C(C)C)C
246574,CNP0272581,O=C1OC2C3C(=CCC3=C(C)C(OC4OC(CO)C(O)C(O)C4O)CC2C1=C)COC(=O)CC5=CC=C(O)C=C5
246577,CNP0101859,O=C(O)CC(O)CCCCCCCCCCCCCCC(OC1OC(C)C(O)CC1O)C
246586,CNP0074737,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)C1OCC(O)C1OC(=O)CCCCCCCC=CCCCCCCCC)CCCCCCCC=CCCCCCCCC
246588,CNP0262839,O=C1OCC(=CC=C1CC2C(=O)OCC2)C
246589,CNP0080290,O=C(OC(C)C1OC(CC1)C(O)C2OC(=O)C=CC2)C=CC3=CC=C(OC)C=C3
246593,CNP0205015,O=C(OC1OC(OC(=O)C)C23C1=CC(OC(=O)C(C)CC)CC2C(C)(CCC(=C)C=C)C(C)CC3OC)C
246597,CNP0263937,O=C(OCC1OC(OC2OC=CC3(O)C(O)C4OC4(C)C23)C(O)C(O)C1O)C=CC5=CC=C(O)C=C5
