,coconut_id,unique_smiles
40593,CNP0341271,O=CC=1C(O)=CC=C(C1C=CCCCCC)CC(O)C(O)(C)C
40597,CNP0256425,OC1=CC=C(C=C1OC)CC(CO)C(CO)CC2=CC(OC)=C3OC(C4=CC=C(O)C(OC)=C4)C(C3=C2)CO
40600,CNP0134820,O=C1C=CC(=O)C1=C(O)CCCCCCCCCC
40605,CNP0124970,O=C1OCC2(C=CC2=C1CO)C3C(=O)CC(C)(C)C3
40606,CNP0077034,O=C1C2=C(O)C=C(C=C2C(C=3C=CC=C(OC)C13)C4OC(CO)C(O)C(O)C4O)CO
40609,CNP0349171,N1=CN=C(NC)C=2NC=NC12
40617,CNP0356778,O=C(OC1CC23OC3C(O)C(O)(C#CC(=C)C)C(O)C2OC1(C)C)C
40618,CNP0413526,O=C(OCC=1OC=CC1)C
40620,CNP0168510,O=C(OC(CO)COP(=O)(O)OCCN)CCCCCCCCCCCCCCC
40627,CNP0393430,O=C1OCC2=CCN3CCC(OC(=O)C(O)(CC(C)C1(O)C)C(Cl)C)C23
40629,CNP0258267,OCC(C)CCC(O)C(C)C1C(O)CC2C3CCC4CC(O)CCC4(C)C3CCC21C
40631,CNP0355576,O=CC(=CCCC1=CC(OC1=O)(OC)C2=CC(O)=CC=C2O)C
40638,CNP0119310,O=C1OC=2C=C(OCC3C(=C)C(O)C(O)C4C(C)(C)C(OC(=O)C)CCC34C)C=CC2C=C1
40642,CNP0125448,C1=C2CC(NC)CCC2(C)C3CCC45CNC(C)C5(C)CCC4C3C1
40644,CNP0150964,O=C1OC(=CC(=O)C1=C(NCCC2=CC=C(O)C=C2)C)C
40646,CNP0260334,O=C(OCCCCCCCCCCC)C
40648,CNP0441186,O=C(C=1C=CC=C(N)C1)C
40658,CNP0071322,O=C1NC(=O)CC(C1)CC=2OC(C(C(=O)C2)C)C(C)CO
40663,CNP0073646,O=C1C=2C(OC=3C=C(C(OC)=C(C13)CO)C)=CC=C(OC)C2OC
40668,CNP0424020,O=C1OC(CC=CCC(O)C2OC2C(O)C(C=C(C=C1C)C)C)C(C)CC=CCC(O)C(C)C(O)C(C)C(OC)C
40671,CNP0427961,O=C1C(=C(OC1(O)C(O)C)CC(O)CCC=CC=CC(C)C(O)C(=CCC(O)C)C)C
40681,CNP0108761,O=C(O)CCC(C(=O)O)C(C(=O)O)CCC(=O)NC(C(=O)O)CCC(=O)NC(C(=O)O)CCC(=O)NCCC1=CC=C(OCC2=COC(=C2)CN)C=C1
40686,CNP0205704,O=C1OC2C(=O)OC(CCCCCCCCCC)C2C1=C
40690,CNP0084004,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)CCCC=CCC=CCC=CCC=CCCCCC
40694,CNP0244818,O=C(O)C1=CCC2C(C1)C2(C)C
40703,CNP0195549,O=C(C1=CC=C(O)C=C1O)C2=CC=3C=C(O)C(O)=CC3C(C4=CC=C(O)C=C4)C2C(=O)C5=CC=C(O)C=C5O
