,coconut_id,unique_smiles
370182,CNP0157695,O=C(N)C(C)CC
370185,CNP0236674,OCC1OC(OC2C(O)CC3(C4=CCC5(C)C6C(O)CC(C(C)C)C6(CO)CCC5(C)C4C(O)CC3C2(C)C)C)C(O)C(O)C1O
370186,CNP0475007,O=C(O)C(O)C(NC(=O)C(C)C(O)C(NC(=O)CCCCCCCCCCCCC)CCCNC(=N)N)C(=O)NC(C(=O)N1CCCC1C(=C)NC(C(=O)NC(C(=O)O)CCCN(O)C(=O)C)CCCN(O)C(=O)C)CO
370196,CNP0202335,OCC1(C)CC2=C(C)C3(C(=C)C(O)C2C1)CC3
370200,CNP0261638,O=C1OC2C(C1=C)CCC3(C)CCCC(=C)C23
370202,CNP0210242,OC1OC2C3=CC=4OCOC4C=C3CCN(C)C2C5=CC=C6OCOC6=C51
370204,CNP0360055,O=C1NC(CC1C(O)CC(=O)CC=2C=CC=CC2)C(C)CC
370208,CNP0167519,O=C(O)CP(=O)(O)O
370210,CNP0219824,O=C(OC)C1(C)CCC2(C)CCC3(C(=CC(=O)C4C5(C)CCC(O)C(C)(CO)C5CCC43C)C2C1)C
370212,CNP0240191,O=C(OC1CC2(OCC1C)OC3CC(C(=O)O)CC(O)C3(O)C2=O)C=4C=CC=CC4
370214,CNP0277604,O=C(O)C(NC(=O)C)CCSC
370225,CNP0080305,O=C1C=C(OC)C(O)C(O)(C)C1Cl
370229,CNP0286378,O=C1C=CCC(OC(=O)C(OC(=O)C(C)CNC(=O)C(N1)CC2=CC=C(O)C(Cl)=C2)CC(C)C)C(C=CC=3C=CC=CC3)C
370231,CNP0212564,O=C(OC1C(=O)OC(C2=COC=C2)C3(C1=C4C(OC(=O)C)C5(O)C(=O)C(C)(C4CC3)C(C(OC(=O)C)C(=O)OC)C(C)(C)C5OC(=O)C(=CC)C)C)C(=CC)C
370233,CNP0087025,O=C(O)C=1C(O)=C2C(=O)OCCC2=CC1OC
370236,CNP0080751,O=C(OC)C(NC(=O)C1=CC=C2OC(C)(CCC=C(C)C)C(O)CC2=C1)C(O)C
370241,CNP0308402,O=CC(OC(=O)C1=CC(O)=C(O)C(O)=C1)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C3OC(=O)C4=CC(O)=C(O)C(O)=C4C=5C(O)=C(O)C(O)=CC5C(=O)OCC3O
370243,CNP0113305,OCC1OC(OC2CCC34CC54CCC6(C)C(C(O)CC6(C)C5CCC3C2(C)C)C(C)C7OC(C)(C)C(OC8OC(CO)C(O)C(O)C8O)C7)C(O)C(O)C1O
370244,CNP0330418,O=CC(=CC(C)CC=CC1C(O)C(=C)C(C)C2C(NC(=O)C12C(=O)CCC(=O)OC)CC3=CNC=4C=CC=CC43)C
370248,CNP0211997,O=C(NC1=CC=C(OC)C=C1)C
370256,CNP0318603,O=C1OCC(=C1)C2C(O)CC3(O)C4CCC5CC(OC6OC(C)C(OC7OC(C)C(OC8OC(C)C(OC9OC(CO)C(O)C(O)C9O)C(OC(=O)C)C8)C(O)C7)C(O)C6)CCC5(C)C4CCC23C
370258,CNP0168087,OCC1OC(OC2=CNC=3C=CC=CC23)C(O)C(O)C1O
370276,CNP0435935,O=C1OC(C(C=CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC=CC=CC=CC=CC=C1)C)C(C)CC
370278,CNP0084379,O=C(OCC(OC(=O)CCCC=CCC=CCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO)CCCCCCCC=CCC=CCCCCC
370288,CNP0271290,O=C1C(O)C2(O)CC(O)CCC2(C)C3CCC4(C)C(CCC4(O)C13O)C(C=CC(C)C(C)C)C
370295,CNP0142386,O=CC1CCC2OC1C3C(CCC23C)C(C)C
370296,CNP0170590,O=C1C2=C(OC(C2)C(O)(C)C)C3(C(=O)C1(C(=O)C(C)CC)C(C)(CCC=C(C)C)C(CC=C(C)C)C3)CC=C(C)C
370302,CNP0158632,O=C1OCC2(OC34C(OC(=O)C)C2C(OC(=O)C)C(OC(=O)C)C4(COC(=O)C)C(OC(=O)C)C(OC(=O)C)C(OC(=O)C(C)C(C=5C=CN=CC15)C)C3(O)C)C
370306,CNP0192256,O=C1C2=C(OC3(C)C(O)CC(C(=C)C)C3C2)C(O)CC1(O)CO
370309,CNP0367149,O=C1C=2C(OC(C=3C=CC=CC3)C1)=CC(OC)=C(O)C2OC
370315,CNP0078638,O=C(C1=CC=C(O)C=C1O)CCC2=CC=C(O)C=3OC(C)(CCC32)CCCC(O)(C)C
370324,CNP0123592,O=C(OCC12CCC(O)C(C)CN3C(=O)C42C5=C(C(=O)CCC5C(C(=O)OC)C4)CC1C3)C
370325,CNP0157628,O=C(O)CC(=O)OC1C(OC(CCCCCCCCC)CCCCCCCCCC(=O)O)OC(COC(=O)C)C(O)C1O
370329,CNP0193205,O=C(OC12CC=C(CO)C2C3OC(=O)C(C)C3C(=O)C4OC41C)C(=CC)C
370346,CNP0255990,O=C1C=C(C=C)C(C)C2CCC3C(C(=O)C(O)CC3(C)C12)(C)C
370350,CNP0215560,O=C(OC1C(O)C(O)OC(C1O)C2C=3C=CC=C(O)C3C(=O)C4=C(O)C=C(C=C42)C)C=C(C)C
370351,CNP0175119,N=C(N)C=1C=CNC1
370352,CNP0169820,O=C(O)C(C)C1(O)OC(CC2OC3(OC(C)(C4OC(CC4)C5OC(CC5)C6OC(O)(C)C(C)CC6C)C(OC)C3C)C(C)C(OC)C2)C(C)C(OC7OC(C)C(OC)CC7)C1C
370358,CNP0166538,O=C(OC1C(C)C23OC4(OC(C3C5OC5(C)C(O)C6(O)C(=O)C(=CC62)C)C1(O4)C(=C)C)C=7C=CC=CC7)C=8C=CC=CC8
370359,CNP0076562,O=C(C)CC=1OC=CC1C
370368,CNP0246965,O=CC(=C1CCC(O)(C)C2(CCC(C(=CC=CC(=C)CCC=C(C)C)CO)C2O)C1CCCO)C
370370,CNP0224378,O=C(O)C=CC(C)C(O)C=CC(=CCC1OC2(OC(CCCC)(CC2)C(OC(=O)CCC(=O)O)C=CC(=CC(=O)O)C)CCC1C)C
370373,CNP0105578,O=C1C=2C(O)=CC(O)=CC2OCC1(O)C3=CC=C4OC(C=CC4=C3OC)(C)CO
370376,CNP0359900,O=C(O)C(N)CCCCCCCCSC
370379,CNP0208170,O=C(NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CO)CC(C)C)CCC(=O)N)(C)C)(C)C)CC(C)C)(C)C)(C)C)(C)C)C(C)C)(C)CC)CCC(=O)N)(C)CC)CC(C)C)C)(C)C)C
370380,CNP0275197,O=C1OC2C(C1=C)CCC(=C)C3CC(Cl)C(=C)C23
370391,CNP0303415,O=C1CCC2(C)C(CCC3(C)C2CCC4C(CCC43C)C5(OC(O)(CC5)C(O)(C)C)C)C1(C)C
370402,CNP0249182,OC=1C=C(OC)C2=C(C1C=3C=CC(OC)=C4C(OC)=CC(=CC34)C)CC(NC2C)C
370407,CNP0278837,O=C(NCCCOC1=C(Br)C=C(C=C1Br)CCN)C2=NOC3(OC=C(Br)C(OC)=C(Br)C3)C2O
370412,CNP0148637,OC1=CC=C2C(OC(C3=CC=C(OC)C(O)=C3)CC2)=C1C
370414,CNP0353478,O=C1OC(C)C(O)C(O)C=CC(O)C=C1
370415,CNP0191412,O=C1CCC=2C=CC(O)=C(C2)C3=CC(=CC=C3O)CCC(O)C1
370421,CNP0310766,OCCC(=C)CCCC(C)C
370422,CNP0085355,O=C(OC1C=CC2=C3CC(=O)OC(C4=COC=C4)C3(C)CCC2C5(C(=O)CC1(C)C5CC(=O)OC)C)C(=CC)C
370428,CNP0374056,O=C(OC1C2(O)C(=O)C(C)(C3C(=C4CC(=O)OC(C5=COC=C5)C4(C)CC3)C2)C(CC(=O)OC)C1(C)C)C
370433,CNP0181502,O=C(N1CCC2=CC=3OCOC3C=4C5=CC=CC=C5CC1C24)C
370435,CNP0354964,O=C(O)C=1C(Cl)=C(O)C(Cl)=C2OC(C)CC21
