,coconut_id,unique_smiles
164066,CNP0276135,O=C1C(OC)=C(OC)C23NCCC3(C4=C(O)C(OC)=CC=C4CC2)C1
164074,CNP0248498,O=C(CC(=O)CCC1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2
164075,CNP0453977,O=C(OCC1OC(OC2=CC=3C(OC4OCC(O)C(O)C4OC(=O)C)=CC(O)=CC3[OH+]C2C5=CC(OC)=C(O)C(OC)=C5)C(O)C(O)C1O)C=CC6=CC=C(O)C=C6
164078,CNP0198295,O=C(O)C1C(C(=O)CC2(C)C3C(=CCC12C)C4(C)CC(O)C(OC5OC(CO)C(O)C(O)C5O)C(C)(C)C4CC3)(C)C(C)C(C)C
164088,CNP0132784,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCC)CO)CCCC=CCC=CCC=CCC=CCC=CCC
164090,CNP0180583,OC1=CC=C(C=C1)C=CC=2C=C(O)C=C(OC3OCC(O)C(O)C3OC4OC(CO)C(O)C(O)C4O)C2
164093,CNP0172232,O=C1OC2(C)CCC=C1CCC(=CC(O)C(O)(C)CCC2O)C(C)C
164100,CNP0343473,O=C(N)C(=C)NC(=O)C(=C)NC(=O)C(=C)NC(=O)C1=NC=2C=3N=C(OC3)C(=C)NC(=O)C(=C)NC(=O)C=4N=C(OC4C)C(=CC)NC(=O)C=5N=C(SC5)C(OC)NC(=O)C=6N=C(OC6C)C(=CCO)NC(=O)C(NC(=O)C=7N=C(SC7)C2C=C1)C(O)C
164105,CNP0424997,O=C1OC2C3=C(C(=O)CC3C4(C)CC4C2C1=C)C
164108,CNP0220591,O=C(OC1C(O)C(O)C(OC1OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=C(O)C4)C)C5=CC(O)=C(O)C(O)=C5
164114,CNP0091595,O=C(OC1OC(COC2OC(CO)C(OOC3OC(C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O)C45CCC(C)C(C)C5C6=CCC7C8(C)CC(O)C(O)C(C)(CO)C8CCC7(C)C6(C)CC4
164120,CNP0401879,OC12CC(C)(C)CC32OC(C(=C3)C)CCC1C
164122,CNP0349372,O=C(NC1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C)C4=CC=C(C=C4)CN5CCN(C)CC5
164135,CNP0331341,O=C1C=2C=CC=C(OC3OC(C)C(OC4OC(C)C(O)C(OC5OC(C)C(OC6OC(C)C(OC7OC(C)C(O)C(O)C7)C(O)C6)CC5)C4)C(O)C3)C2C(=O)C8=C1C=9C(O)=CC(=CC9CC8O)C
164136,CNP0086359,O=C(O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
