,coconut_id,unique_smiles
3,CNP0330764,O=C(OC1C(=C)C2CCC3(O)C4(C)CCCC(C(=O)O)(C)C4CCC13C2)C=C(C)C
5,CNP0356547,OC=1C=C(OC)C=2C(O)=C3C(=C(C2C1)C=4C=5C=C(OC)C=C(OC)C5C(O)=C6C4C(O)C(OC6)C)C(O)C(OC3)C
10,CNP0221451,O=C(O)CCC1NC(=O)C(NC(=O)C(NC(=O)C(N(C(=O)CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CC(OC(=O)C(N(C(=O)C(NC(=O)C(NC(=O)C(NC1=O)CC(=O)N)CC2=CNC=3C=CC=CC32)CCCN)C)C(C)C)CCCC(C)C)CO)C(O)C(=O)N)CO)C)CC=4C=CC=CC4)CC(C)C)CCCN
12,CNP0106606,O=C(OC1C(=O)C=CC(=O)C23C(O)=NC(CC4=CNC=5C=CC=CC54)C3C(=C(C)C(O)C2C=CCC(C=C1C)C)C)C
14,CNP0228820,O=C1C=2C(O)=CC=C(O)C2OC=3C=C(OC)C(=C(O)C13)CC=C(C)C
17,CNP0115074,OC=1C=C2C(OC3C4=CC=C(OC)C(OC)=C4OCC23)=C(OC)C1OC
20,CNP0291253,O=C1C(O)=C(OC2=CC(OC)=CC(OC)=C12)C=3C=CC(OC)=C(OC)C3
22,CNP0211838,O=C(C=CC1=CC=C(O)C(OC)=C1)C(C(=O)C=CC2=CC=C(O)C(OC)=C2)C3C=C(C)C4CC3C(C)CC4C=C(C)C
26,CNP0145813,O=C(OC1=CC(Br)=C(O)C(Br)=C1CC(=O)N)NCCCCNC(=N)N
27,CNP0079465,O=C(C=1C(O)=C(C=2OC3(O)C(C4C2C1OC(C)(C)C4)C(C(=O)C3(C)C)(C)C)C(C=5C(=O)C(C(=O)C(C5O)(C)C)(C)C)C(C)C)C(C)C
37,CNP0128179,O=C(OCCCC1=CC=C2OC(=CC2=C1)C=3C=CC=4OCOC4C3)CCCCCCCC=CCC=CCCCCC
38,CNP0063031,O=C(OC1CC[N+]2([O-])CC=C(COC(=O)C(O)(C(OC)C)C(O)(C)C)C12)C(=CC)C
44,CNP0129509,OC1=CC=C2C3=C1OC4C(O)CCC5(O)C(N(C)CCC345)C2
51,CNP0386095,O1C=C(C=C1C)C
54,CNP0174750,O=C1OC(C(=O)C1=C2OC(CC)CC2)C
57,CNP0115930,O=C(O)C(=C)NC(=O)C(=C)NC(=O)C=1N=C(SC1)C2=NC=3C=4N=C(SC4)C=5N=C(SC5)C6N(C(=O)C(NC(=O)C7N=C(SC7)C(NC(=O)C=8N=C(SC8)C(NC(=O)C=9N=C(OC9C)C3C=C2)CC(=O)N)CC=%10C=CC=CC%10)CC%11=CC=C(O)C=C%11)C(O)CC6C
63,CNP0166799,OCC(C(=C)CCC=C(C)CCC=C(C)C)CC=C(C)CCC=C(C)CCC=C(C)C
67,CNP0118321,O=C1OC2C=C(C)CCC=C(CO)CC(O)C2C1C
75,CNP0080376,O=C(OC1CCC(NC1C)CCCCCCCCCCC(=O)C)C
80,CNP0325511,O=C(OC1CC2C(CC=C3CC(OC4OC(C)C(OC5OC(C)C(OC6OC(C)C(OC7OC(CO)C(O)C(O)C7O)C(OC)C6O)C(OC)C5)C(OC)C4)CCC32C)C8(O)CCC(C(=O)C)C18C)C(=CC)C
87,CNP0253962,O=C1OC2C(O)C3C4(C(=O)C(Cl)=C(C4=CC(=O)C3(C)C1C2C)C)C
97,CNP0295202,O=C1C2=CC(OC)=C(O)C(OC)=C2C3C=4C(OCC1C3CO)=CC(OC)=C(O)C4OC
101,CNP0256263,O=C1C=C(OC=2C=C(OC)C(=C(O)C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(OC)=C(O)C4
104,CNP0286137,O=C(C1=CC=C2OC=CC2=C1OC)CC(OC)C=3C=CC=CC3
107,CNP0278893,C=1C=C(C(=CC1C)C)C(C)C
