,coconut_id,unique_smiles
123221,CNP0299398,C=1C=CC(=CC1)C=CC2=CC=3C=CC=CC3N2
123227,CNP0312232,O=C1C(=C(OC(=C1C)C(O)CCCCCC)OC)C
123228,CNP0161619,O=C(OCCCC(O)COC(=O)C)C
123229,CNP0268130,O=C1C(=COC2=C(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)C(OC)=CC=C12)C=5C=CC(OC)=CC5
123232,CNP0335624,OC1C=2C(=COC2CC3(O)C(O)CCC(C)C13C)C
123236,CNP0424668,O=C1C(O)=C(OC=2C1=C(O)C=C(OC3OC(CO)C(O)C(O)C3O)C2CCC(OC)(C)C)C=4C=CC(OC)=CC4
123249,CNP0119389,O=C1OCC2OC(OC(C=C)(C)CCC=C(C(=O)OCC3OC(OC(C=C)(C)CCC=C1C)C(O)C(O)C3O)C)C(O)C(O)C2O
123250,CNP0092512,O=C(OCCCCC)C1=CC(O)=C(O)C(O)=C1
123251,CNP0115020,O=C1C=C2C(C=CCC2(C3=C(O)C=4OC(=CC4C(O)=C13)C)C)(C)C
123255,CNP0135162,O=C(O)C(=CC=CC)COC(=O)C
123260,CNP0140614,O=C(C1=CC=C(O)C(O)=C1)C=2C(=O)C3(C(=O)C4(C2O)CC(C)(C)C(C(=C)C)CCC4C(CC=C(C)C)C3(C)C)CC=C(C)C
123263,CNP0292286,OC1=CC=C(C=C1)CC2C3=CC(O)=C(O)C=C3CCN2C
123268,CNP0424669,O=S(=O)(O)ON=C(SC1OC(CO)C(O)C(O)C1O)CC=2C=CC=CC2OC
123277,CNP0344662,O=C(O)C(=CC=CC(=CC=CC(=C1C(=O)CC2C1(C)CCC3C(C(=O)CCC23C)(C)C)C)C)C
123280,CNP0321300,O=C1C2=C(OC=3C=C(O)C(O)=CC32)OC=4C=C5OC(C=CC5=C(OC)C14)(C)C
123282,CNP0351515,O=C1OC2C=3C=C(C=C(O)C3C=4C(=O)C=5C=CC=C(OC6OC(C)C(O)C(O)C6)C5C(=O)C4N2CCCC1N)C
123283,CNP0315855,O=C1OC2(C(=O)C3=COC(C=CC)=CC3=CC2=C1C(=O)CCCCCCC)C
123288,CNP0164887,O=C1C=2C(O)=CC(O)=CC2C(=O)C3(OC4C(=C)CCC(Cl)C4(C)C)OC(C)(C)C(Cl)C=C13
123292,CNP0246645,O=C(O)CCCC1CC(=O)CC1CC=CCC
123294,CNP0109950,O=C1C=2C(O)=CC(O)=CC2OC(O)C1C3=CC=C(OC)C=C3
123299,CNP0310764,O=C1NC(C2=NC(C(=O)NC(C3=NC(C(=O)NCC(=O)NC(C4=NC(=CS4)C5=NC(=CS5)C=6N=C(C=CC6C7=NC1=CS7)C8=NC(=CS8)C9=NC(C(=O)N%10CCCC%10C(=O)N)CO9)C(O)C=%11C=CC=CC%11)=C(S3)COC)C(C)C)=C(S2)CO)CC(=O)NC
123303,CNP0208359,OC1=C(OC)C=C2C3=C1OC=4C=C5C(=CC4OC)CCN(C)C5CC6=CC=C(OC7=CC(=CC=C7OC)CC3N(C)CC2)C=C6
123309,CNP0081242,O=C1OC2=C(C=C1)C(O)=C3C(OC(C)(C)CC3C4=C(O)C=5NC=6C=CC=CC6C5C=C4C(=O)OC)=C2C(C=C)(C)C
123312,CNP0203513,O=C1CCCCCCC1
123313,CNP0121158,O=C(OC1CCC(O)(C)C23OC(C)(C)C(C(O)C(OC(=O)C)C12COC(=O)C)C3OC(=O)C)C=4C=CC=CC4
123314,CNP0353119,O=C1OC(C(=O)NCC(=O)N(C)C(C(=O)NCC(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)C(C(=O)N(C)C(C(=O)NC(CCC)C1C)C)(C)C)C)CC=2C=CC=CC2)C(C)C)CC(C)C)C(C)CC
123323,CNP0177244,O=C(C(=CC(C)C(OC1OC(CO)C(O)C(O)C1O)C(=CC(C)C(OC2OC(CO)C(O)C(O)C2O)C(=CC(C)CC)C)C)C)CC
123327,CNP0175037,O=CC1(C)C2C(=CCC3(C2)C(C)CCC13)C
123334,CNP0314755,OC1=CC=C(C=C1)C(C2=CC=C(O)C=C2)(C)C
123338,CNP0300457,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(O)=C(OC)C(OC)=CC4C(OC(=O)C)C(C)C1C)C=5C=CC=CC5
