,coconut_id,unique_smiles
288332,CNP0347428,O1C(CCC(=CC=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC2=C(C)CCCC2(C)C)C)C)C)C)C)C1(C)C
288341,CNP0076477,OCC12CC(=C)C(C)C(C)C2C3CCC4C(C)(CCC5C(C)(C)C(O)CCC54C)C3CC1
288349,CNP0113785,O=C(OC12C(=O)OCC2CC3=CC(OC)=C(OC)C(OC)=C3C1C4=CC=C5OCOC5=C4)C
288352,CNP0242137,O=C1C=CC(C=C1)=C2C=3C(O)=CC(O)=CC3C4=C(OC=5C=C(O)C=C(C54)C2C6C=7C=C(O)C=C8OC(C9=CC=C(O)C=C9)C(C=%10C=C(O)C=C(O)C%10C6C%11=CC=C(O)C=C%11)C87)C=%12C=CC(O)=CC%12
288363,CNP0241989,OC=1C=CC=2C3=C4OCOC4=CC5=C3C(N(C)CC5)CC2C1OC
288365,CNP0144312,O=C(OC1C2C3CC1(O)C(OC)CC2(OC(=O)C)C4C(OC)C5C6(COC)CN(CC)C4C35C(OC)CC6)C=7C=CC=CC7
288366,CNP0114210,OC=1C(=C(C(=C2C1C(O)(C)C(O)(C)C2)C)CCO)C
288369,CNP0156182,O=C(OC1=C(O)C=C(O)C=2C(=O)C(OC)=C(OC12)C=3C=CC=CC3)C(C)CC
288371,CNP0320633,O=C1OC2C(OC(C)C(OC3OC(C)C(OC4OC(C)C(OC(=O)C(C)C(O)C)C(O)C4OC5OC(CO)C(O)C(O)C5O)C(O)C3OC(=O)CCCCCCCCCCC)C2O)OC6C(OC(CCCCC)CCCCCCCCC1)OC(C)C(O)C6O
288372,CNP0299774,OC1=CC=C(C=C1)CCCCC(O)CCC2=CC=C(O)C(O)=C2
288375,CNP0071381,O=C(OCC1(O)CCC23CC1CC3CC=4OCC5(C4C2(C)CCC5O)C)C
288380,CNP0123757,O=C1C=C(OC=2C1=C(O)C=C(O)C2C3OC(COC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)C(O)C(O)C3O)C=6C=CC(O)=CC6
288381,CNP0320329,O=C1C=C(OC=2C1=C(O)C=C(OC)C2C3OCC(O)C(O)C3O)C=4C=CC(O)=CC4
288383,CNP0358924,O=S(=O)(O)ON=C(SC1OC(CO)C(O)C(O)C1O)CC2=CN(OS(=O)(=O)O)C=3C=CC=CC32
288386,CNP0186850,O=C1OC23CCCC1(C)C3C(O)CC4CC(C=C)(C)CCC42C
288394,CNP0075818,O=C(OCC1OC(OC2C(O)C(O)C(OC2OC=3C(=O)C=4C(O)=CC(O)=CC4OC3C=5C=CC(O)=C(O)C5)C)C(O)C(O)C1O)C=CC6=CC=C(OC7OC(CO)C(O)C(O)C7O)C=C6
288395,CNP0074188,O=C1C=C(O)C2=C(O)C3=C(O)C=C(OC3=CC2=C1C=4C(=O)C=C(O)C5=C(O)C6=C(O)C(=C(OC6=CC54)C)C)C
288405,CNP0295668,O=C1OC2(O)C=C(C)C3(O)CCC(C)C3CC2=C1C
288406,CNP0074012,O=C(N)C=1C(=N)C(=O)C=C(NC=2C=CC=CC2O)C1O
288407,CNP0266199,O=C(CC)CC(O)C(C(=O)C(CO)C(O)C1(OC1C(C=CC)C)C)CO
288412,CNP0284198,O=C(O)CC1=CNC=2C=CC=CC21
288414,CNP0201229,O=C1C(=O)C2(C)C(C(=O)CC2(C=3C(=O)CC4C(C(=O)CCC4(C13)C)(C)C)C)C(C)CCC(=O)O
288418,CNP0068472,OC1=CC=C(C=C1OC)CC(C2=CC(C=CCO)=CC(OC)=C2O)COC3OC(CO)C(O)C(O)C3O
288423,CNP0291982,O=C(OC1C=2C(=COC31OC(C)CCC3)C(=O)C(OC(=O)C)(C(=O)C2C=4C(=O)C(OC(=O)C)(C(=O)C5=COC6(OC(C)CCC6)C(OC(=O)C)C54)C)C)C
288431,CNP0346772,O=CC=CC(=O)CCCCC
288436,CNP0347753,O=C1N(C=2C=CC(Cl)=CC2C(=NC1O)C=3C=CC=CC3)C
288439,CNP0239464,O=C1NC(C(=O)NC1=CC=2C=3C=C(C=CC3NC2C(C=C)(C)C)CC(O)C(=C)C)C
288442,CNP0320857,O=C(O)C=1C(=O)C(=CC(=O)C1N)NC2=CC=C(O)C3=C2C(=O)OC43C=C(OC)C(N)=C(C(=O)O)C4=O
288443,CNP0241406,O=C(OC)C1=CN=CC2=C1C(O)CC2C
288448,CNP0072315,O=C1C2=CC(=CC(O)=C2C(=O)C=3C(O)=CC=C(C13)CC4=CC(O)=C5C(=O)CC(OC5=C4)(C(=O)OC)C6OC(=O)CC6)C
288452,CNP0234420,OCC1OC(OC2CC3=CCC4C(CCC5(C)C(CCC45)C(C)C6NCC(C)CC6)C3(C)CC2)C(O)C(O)C1O
288456,CNP0352776,OC(C=1N=CC(=NC1)C(C)C)(C)C
288458,CNP0289456,O=C(C=CC1=CC=C(O)C(O)=C1)C2=CC=C(OC3OC(CO)C(OC4OC(CO)C(O)C4O)C(O)C3O)C(O)=C2O
288462,CNP0141963,OCC(CC)CCNC
288468,CNP0311724,O=CC(NC(=O)C(NC(=O)C(NC(=O)C)CC(C)C)C(C)C)CCCN=C(N)N
288470,CNP0081079,OCC1=CC(NC2C(O)C(O)C(OC2C)OC3C(O)C(O)C(OC4C(=CC(NC5C(O)C(O)C(OC5C)OC6C(O)C(O)C(OC7C(=CC(NC8C(O)C(O)C(OC8C)OC9C(O)C(O)C(OC%10C(=CC(NC%11C(O)C(O)C(OC%11C)OC%12C(O)C(O)C(OC%12C)OC%13C(O)C(O)C(OC%13C)OC%14C(O)C(O)C(OC%14C)OC%15C(O)C(O)C(O)OC%15C)C(O)C%10O)CO)OC9C)C(O)C7O)CO)OC6C)C(O)C4O)CO)OC3C)C(O)C(O)C1O
288472,CNP0261365,O=C(OCC1OC(OC(=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)C1OC(=O)C4C5=C(OC(=O)C=6C=C(O)C(O)=C(O)C65)C(=O)C4)C7=CC(O)=C(O)C(O)=C7
288475,CNP0314475,O=C1OCC(N=C(O)C=2C=CC=C(O)C2O)C(=O)OCC(N=C(O)C=3C=CC=C(O)C3O)C(=O)OCC1N=C(O)C=4C=CC=C(O)C4O
288478,CNP0140999,O=C(OC)C=1C=CC=CC1OCC(=O)NC(C2=CC=CC=3C=CC=CC32)C
288482,CNP0187947,O=C1OCC(C)(C)C1O
288483,CNP0219048,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1C=CC43OC(=O)C(=C4)C(O)C5=CC=C(O)C(OC)=C5
288485,CNP0276044,OC1C(=C(CCC2C(O)(C)CCC3OC(C)(C)C(O)CCC32C)C(C)(C)C4CCC(O)(C)C4C1)C
288488,CNP0235226,OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O
288499,CNP0330769,O=C1C=2C(O)=C3C=4C(O)=C5C(=O)N6CCOC6(C)CC5=CC4CC7OCOC(C2OC8=C1C(O)CC(OC9OC(C)C(O)CC9)C8O)=C37
288500,CNP0141631,OC1=CC=C2C(OC(C3=CC=C(O)C(O)=C3)C(O)C2C4=C(O)C=C5OC(C6=CC=C(O)C(O)=C6)C(O)CC5=C4O)=C1
288503,CNP0098140,O=C(OC1C2C3(OC(=O)C)COC3CC(O)C2(C(=O)C(OC(=O)C)C4=C(C)C(OC(=O)C(O)C(N=C(O)C=CC=5C=CC=CC5)C=6C=CC=CC6)CC1(O)C4(C)C)C)C=7C=CC=CC7
288505,CNP0203743,O=C(OCC=1C=CC=CC1)C=2C=CC=CC2
288510,CNP0284261,O=C1C(=C(O)N(C)C1C)C(=O)C(C)CCCCCCCCCCCCCCCCOC2OC(CO)C(O)C(O)C2O
288511,CNP0369552,O=C(OCCCCCCCCCCCCCCCCCC)C=CC1=CC=C(O)C(OC)=C1
288528,CNP0256150,O=C(OC=1C=C(C(OC)=CC1C2(OC2)COC(=O)C(C)C)C)C(=CC)C
288531,CNP0079535,O=C(OC1CC2(C)C3CC(C)(C)CC3(O)C=C(CO)C12O)C=4C(O)=CC(O)=C(Cl)C4C
288535,CNP0248989,O=C(OCC=1N=C(C=2NC=3C=CC=CC3C2C1)C(O)CO)C
288536,CNP0298788,O=C1C(O)=C(C(=O)C2=CC=C(C(=C12)CCCC(O)(C)C)C)C(C)C
288537,CNP0248060,O=CC12CCC(OC3OC(C)C(OC4OC(CO)C(OC5OC(CO)C(O)C(O)C5O)C(O)C4O)C(OC)C3)CC2CCC6C1CCC7(C)C(C8=CC(=O)OC8)CCC67O
288539,CNP0076846,O=C(OC1CC2C3CCC4C(O)C(N=C(O)C=C(C)C)CCC4(C)C3CCC2(C)C1C(N(C)C)C)C
288541,CNP0212161,O=C(OC)C(=C)C1CC(OC(=O)C)C23OC3C(OC2=O)CC4(OC4C=5OC(=C(C5)C)C1OC(=O)C)C
288543,CNP0178081,O=CC1=C(O)C(=C(O)C(Cl)=C1C)CC=C(C=CC2(C)C(C(=O)CCC2C)C)C
288553,CNP0153855,O=C(OC)CCCC=CC=C1C(=O)C(Br)=CC1(O)CC=CCCCCC
288558,CNP0425968,O=C1OCC23C4OC(CC2C1(C)CC4)C56CCC(C(=C)C5O)CC36
288561,CNP0253832,O=C(C=1C=CC=CC1)CC2N(C)C(C=CC2)CC(O)CC
288564,CNP0216388,O=C(C1=CC=C(O)C=C1O)C2C(C=C(C)CC2C3=CC=C(O)C=C3O)C4=CC=5C=C(OC5C=C4O)C=6C=C(O)C=C(O)C6
288567,CNP0466851,O=C(O)C1OC(OC2=CC=C(C=C2O)C3C=CC=4C(O)=CC(O)=CC4[OH+]3)C(O)C(O)C1O
288570,CNP0173525,O=C1OC(C)CCC(O)C=CC=C1
288571,CNP0273023,OC1CC(C(C)C)C2(C)CCC3(C)C4C(=CCC3(C)C12)C5(C)CCC(O)C(C)(C)C5CC4
