,coconut_id,unique_smiles
81991,CNP0106841,O=C1OCC(OC(=O)C2=CC(O)=C(O)C(O)=C2)C(OC(=O)C3=CC(O)=C(O)C(O)=C3C=4C(O)=C(O)C(O)=CC14)C5OC(=O)C=6C=C(O)C(O)=C(O)C6C7=C(O)C(=O)C89OC%10=CC(O)=C%11C(OC(C%12=CC=C(O)C(O)=C%12)C(O)C%11)=C%10C9C5OC(=O)C78
81995,CNP0350096,O=C1OC=2C(O)=C(OC3OC(C)C(O)C(OC(=O)C)C3O)C=C4C(=O)OC5=C(O)C(O)=CC1=C5C24
81997,CNP0083644,O=C(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC=3C(=NC=NC32)N)C(O)C1OP(=O)(O)O)C=C(C)CCC=C(C)C
81998,CNP0149994,OC1C=CC=CC=CCCC2CN3CCCCCCCCCCCCC4CN(C1)CC(C4)C2CC3
82000,CNP0284784,O=C1OC23CC45OC6(OC7C(OC(=O)C7C)C8=C(C(=O)C(C)(CC4)C86)C)C(=O)C5C(O)CC3C(OC2C1)(C)C
82001,CNP0288417,O=C1C=C(C)C2(CCC(C2)C(O)(C)CO)C(C)C1
82032,CNP0216607,OC1=CC=C2C(OCC(C3=CC=C(O)C=4C=CC(OC43)(C)C)C2)=C1
82045,CNP0249780,C=CC(=CC=CC(=CC=C1C(=CCCC1(C)C)C)C)C
82052,CNP0421085,O=C(N1CCCC1C(O)=NC(C(O)=NC(C(O)=NC(C(=O)N2CCCC2C(O)=NC(CO)C(C)C)(C)C)CC(C)C)C(C)CC)C(N=C(O)C(N=C(O)C(N=C(O)C(N=C(O)C(N=C(O)C)(C)C)CCC(=N)O)C(C)CC)CC(C)C)(C)C
82053,CNP0158042,O=CC(NC(=O)C(NC(=O)C(NC(=O)CC(C)C)CC1=CC=C(O)C=C1)CC(C)C)CC2=CC=C(O)C=C2
82055,CNP0192006,OCC1OC(OC2CC3=CCC4C(CCC5(C)C(CCC45)C(C)CCC(C)C(C)C)C3(C)CC2)C(O)C(O)C1O
82056,CNP0088497,O=CC=1C=C(OC)C=2NC=3C=CC=CC3C2C1
82058,CNP0337009,O=C(OC1CC2(OC2CC(O)C(CO)CC3OC(=O)C(=C)C31)C)C(=CC)C
82059,CNP0209880,O=C(OC1CC2C(CC=C3CC(O)CCC32C)C4CCC(C(C)CC(O)C(C)C(C)C)C14C)C
82073,CNP0321092,OC=1C=C(C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC=2C(=CC(O)=C(C2C)C)C)C)C)C)C)=C(C1C)C)C
82079,CNP0114431,O=C1OC(CC(O)C)CC1CCO
82080,CNP0319698,O=C1OC(C)C(N=C(O)C2=CC=C(C(O)=C2N)C)C(O)=NC(C(=O)N3C(C(=O)N(C)CC(=O)N(C)C1C(C)C)CCC3C)C(C)C
82083,CNP0168514,O=C(C=1C=C(C(O)=CC1O)C(=O)C(CC(C)C)C2OC(O)C3(OC3CC)C(O)C2)C(C)C
82086,CNP0320430,O=C1C=CC(O)C2N3C(=O)C4(SC)N(C(=O)C3(SC)CC12)C5C(O)C=CC(=O)C5C4
